contrast,progress_bin,odds.ratio,SE,df,null,z.ratio,p.value,progress_bin_index,progress_start,progress_end,Figure_Panel,Panel,fix,p.value_fdr,significant_fdr
CTRL / ASD,06,0.6804913598884615,0.17418553989217703,Inf,1,-1.5038472700818886,0.13262069669973575,6,0.5,0.6000000000000001,A,Full Sample,Background,0.3218363425291338,FALSE
CTRL / ASD,07,0.8109220806678279,0.2078651490127747,Inf,1,-0.8176249489552001,0.41357137699415175,7,0.6000000000000001,0.7000000000000002,A,Full Sample,Background,0.41357137699415175,FALSE
CTRL / ASD,08,0.8107055899142137,0.2078257978757764,Inf,1,-0.8186029963303489,0.41301295691578216,8,0.7000000000000001,0.8000000000000002,A,Full Sample,Background,0.41357137699415175,FALSE
CTRL / ASD,09,0.7471188483004,0.19206787887875634,Inf,1,-1.1340173614376359,0.2567872655213666,9,0.8,0.9000000000000001,A,Full Sample,Background,0.3218363425291338,FALSE
CTRL / ASD,10,0.6347675197565805,0.16334784750389694,Inf,1,-1.7661670700211578,0.0773678238909556,10,0.8999999999999999,1,A,Full Sample,Background,0.3218363425291338,FALSE
CTRL / ASD,01,0.3346179226657977,0.12111136970279009,Inf,1,-3.024722627897753,0.0024886124139830166,1,0,0.1,A,Female,Background,0.024886124139830164,TRUE
CTRL / ASD,02,0.4433362283256348,0.15901673062995317,Inf,1,-2.2678216019922703,0.02334008221402184,2,0.10000000000000002,0.2,A,Female,Background,0.04668016442804368,TRUE
CTRL / ASD,03,0.3819980317882669,0.1367114756821917,Inf,1,-2.688961671851983,0.007167464824318022,3,0.2,0.3,A,Female,Background,0.03583732412159011,TRUE
CTRL / ASD,04,0.4988608139245039,0.17840407699755975,Inf,1,-1.9445847866594994,0.0518249717799253,4,0.30000000000000004,0.4,A,Female,Background,0.07144608175904997,FALSE
CTRL / ASD,05,0.6127568527795983,0.21934459606535145,Inf,1,-1.3682597645935664,0.17123078027348335,5,0.4,0.5,A,Female,Background,0.17123078027348335,FALSE
CTRL / ASD,06,0.43598402405209224,0.15618786937275164,Inf,1,-2.3172862194877237,0.020488145479344563,6,0.5,0.6000000000000001,A,Female,Background,0.04668016442804368,TRUE
CTRL / ASD,07,0.505755303269591,0.18125906856642088,Inf,1,-1.9021093113862892,0.05715686540723997,7,0.6000000000000001,0.7000000000000002,A,Female,Background,0.07144608175904997,FALSE
CTRL / ASD,08,0.5353637903909253,0.19180458693521288,Inf,1,-1.7439624499090154,0.0811656377692327,8,0.7000000000000001,0.8000000000000002,A,Female,Background,0.09018404196581412,FALSE
CTRL / ASD,09,0.42385274744142015,0.15223977052884577,Inf,1,-2.3897969176060143,0.01685769140530137,9,0.8,0.9000000000000001,A,Female,Background,0.04668016442804368,TRUE
