contrast,progress_bin,medication,odds.ratio,SE,df,null,z.ratio,p.value,stars,bin_medication
ASD / CTRL,15,NAL,1.2485155780081736,0.4393155351613715,Inf,1,0.6307872987164154,0.5281796092626416,,15_NAL
ASD / CTRL,16,NAL,0.7880284292469133,0.2737096675989923,Inf,1,-0.6858545055765742,0.49280486123224987,,16_NAL
ASD / CTRL,17,NAL,0.9393731260897862,0.32439113792179985,Inf,1,-0.1811108547285552,0.8562805646524261,,17_NAL
ASD / CTRL,18,NAL,0.7000509711710019,0.24256902489651788,Inf,1,-1.029148993679043,0.30340966645492906,,18_NAL
ASD / CTRL,19,NAL,1.0414166004965009,0.36091501444540686,Inf,1,0.1170986656563247,0.9067818671147131,,19_NAL
ASD / CTRL,20,NAL,0.6675844383960896,0.23041445720602824,Inf,1,-1.1707763331705539,0.2416886932212058,,20_NAL
ASD / CTRL,01,OXT,1.0086538910915839,0.33485331031939247,Inf,1,0.02595533085525457,0.9792929672490381,,01_OXT
ASD / CTRL,02,OXT,0.8829295516809531,0.2936159632615228,Inf,1,-0.37441233646018834,0.7080975661517919,,02_OXT
ASD / CTRL,03,OXT,1.0885058387407915,0.37213527971989324,Inf,1,0.24805976175361477,0.8040881681943912,,03_OXT
ASD / CTRL,04,OXT,1.0615525160309893,0.3536090297403366,Inf,1,0.17931996387389018,0.8576864720113466,,04_OXT
ASD / CTRL,05,OXT,0.7807648963774155,0.25798629462371425,Inf,1,-0.7489724848787902,0.4538737896890591,,05_OXT
ASD / CTRL,06,OXT,0.9005629036724976,0.29703953171250613,Inf,1,-0.31753582326236757,0.750837061757925,,06_OXT
ASD / CTRL,07,OXT,0.7989639059265472,0.26532945793512186,Inf,1,-0.6758354974514669,0.4991450944115627,,07_OXT
ASD / CTRL,08,OXT,0.9479789896874641,0.320385632911386,Inf,1,-0.15807145904078254,0.8744004902194272,,08_OXT
ASD / CTRL,09,OXT,0.9408236018445356,0.3150255352842478,Inf,1,-0.18217531982649654,0.8554451408092878,,09_OXT
ASD / CTRL,10,OXT,0.7882890249515004,0.26262529210067026,Inf,1,-0.7140456574183736,0.47519894733150947,,10_OXT
ASD / CTRL,11,OXT,0.9310033677856152,0.31166932689055,Inf,1,-0.21355855336477714,0.8308913233098429,,11_OXT
ASD / CTRL,12,OXT,0.6689348216570592,0.22300652766313567,Inf,1,-1.2060531302894164,0.2277970051662323,,12_OXT
ASD / CTRL,13,OXT,0.6536649261635197,0.21729712843194324,Inf,1,-1.27895129669504,0.2009142070580085,,13_OXT
ASD / CTRL,14,OXT,0.8016532764752328,0.26607311899911956,Inf,1,-0.6660904945056172,0.5053532598769265,,14_OXT
ASD / CTRL,15,OXT,0.9012955372398974,0.29577990364860945,Inf,1,-0.3166695646382461,0.7514943450172712,,15_OXT
ASD / CTRL,16,OXT,0.7433532055913132,0.2433767100770089,Inf,1,-0.9058658260280197,0.36500687436881746,,16_OXT
ASD / CTRL,17,OXT,0.7817909521709664,0.2575278951999932,Inf,1,-0.7473048145683577,0.45487958693393316,,17_OXT
ASD / CTRL,18,OXT,0.8859022910541058,0.29577326990246655,Inf,1,-0.36286523122242176,0.7167055605014185,,18_OXT
ASD / CTRL,19,OXT,0.6082778111501368,0.20127600040125307,Inf,1,-1.5023611337426717,0.1330038681778609,,19_OXT
ASD / CTRL,20,OXT,0.8789212091692156,0.2917104047401117,Inf,1,-0.38885685574703593,0.6973820393557766,,20_OXT
ASD / CTRL,01,PLA,0.5024806175676838,0.1682664095799527,Inf,1,-2.0551116728299763,0.039868219727698696,*,01_PLA
ASD / CTRL,02,PLA,0.7530578356716877,0.25102130147898294,Inf,1,-0.8508328846747274,0.3948621914689523,,02_PLA
ASD / CTRL,03,PLA,0.6822626063379165,0.22781519418295104,Inf,1,-1.1450365452391211,0.25219401910317235,,03_PLA
ASD / CTRL,04,PLA,0.6213830164709996,0.20671633250552007,Inf,1,-1.4302632333611418,0.152641482921686,,04_PLA
ASD / CTRL,05,PLA,0.5061854753073568,0.16882055046478944,Inf,1,-2.041442558333671,0.04120685792221262,*,05_PLA
ASD / CTRL,06,PLA,0.6315781557255458,0.21135191551529525,Inf,1,-1.3732138269003518,0.16968588245293476,,06_PLA
