scenario_shift,simulation,converged,pdHess,p_group_fix_medication,p_medication,error,scenario_label
0.12,1,TRUE,TRUE,0.02654309219109224,0.34691030048034466,NA,+/-12% shift
0.12,2,TRUE,TRUE,0.0017417480939364604,0.6984762787972134,NA,+/-12% shift
0.12,3,TRUE,TRUE,0.01770523201671844,0.3601003697799198,NA,+/-12% shift
0.12,4,TRUE,TRUE,0.0048298885510720795,0.9223717894828324,NA,+/-12% shift
0.12,5,TRUE,TRUE,0.10822188295588549,0.44013076277920643,NA,+/-12% shift
0.12,6,TRUE,TRUE,0.16681023289895366,0.0315925030692574,NA,+/-12% shift
0.12,7,TRUE,TRUE,0.0403602633241844,0.7262201103087794,NA,+/-12% shift
0.12,8,TRUE,TRUE,0.0045822312362786615,0.3547901565434267,NA,+/-12% shift
0.12,9,TRUE,TRUE,0.005076056497976465,0.5896492712589505,NA,+/-12% shift
0.12,10,TRUE,TRUE,0.004178504967736999,0.1802015741061639,NA,+/-12% shift
0.12,11,TRUE,TRUE,0.011368355360394879,0.07805613186956599,NA,+/-12% shift
0.12,12,TRUE,TRUE,5.752013420313937e-6,0.4305813092087099,NA,+/-12% shift
0.12,13,TRUE,TRUE,0.0034642591286168003,0.6928772722367262,NA,+/-12% shift
0.12,14,TRUE,TRUE,0.0015936121286272418,0.3693372396124981,NA,+/-12% shift
0.12,15,TRUE,TRUE,0.007742852328295092,0.3170199584040912,NA,+/-12% shift
0.12,16,TRUE,TRUE,0.001758969006420385,0.3525252478347031,NA,+/-12% shift
0.12,17,TRUE,TRUE,0.00503367792271413,0.5912887511415267,NA,+/-12% shift
0.12,18,TRUE,TRUE,0.4174216087404356,0.675956400759583,NA,+/-12% shift
0.12,19,TRUE,TRUE,0.0034607447624406987,0.9725075274839304,NA,+/-12% shift
0.12,20,TRUE,TRUE,0.005260810888333997,0.693781562768872,NA,+/-12% shift
0.12,21,TRUE,TRUE,0.3530953569689649,0.18373904676440336,NA,+/-12% shift
0.12,22,TRUE,TRUE,0.022990316202315727,0.33289344000190113,NA,+/-12% shift
0.12,23,TRUE,TRUE,0.163777092318861,0.024581268320755027,NA,+/-12% shift
0.12,24,TRUE,TRUE,3.1942808440714226e-4,0.9803937253005205,NA,+/-12% shift
0.12,25,TRUE,TRUE,0.45158597078628754,0.556171127945413,NA,+/-12% shift
0.12,26,TRUE,TRUE,0.2269975317522931,0.10962818235930422,NA,+/-12% shift
0.12,27,TRUE,TRUE,0.27033887105290916,0.036324633858855475,NA,+/-12% shift
0.12,28,TRUE,TRUE,0.02590276769801274,0.8414181500790254,NA,+/-12% shift
