contrast,progress_window,medication,Sex,odds.ratio,SE,df,null,z.ratio,p.value
ASD / CTRL,36,PLA,f,2.0645204962367067,0.903101278537129,Inf,1,1.657141676520746,0.09749083483959545
ASD / CTRL,37,PLA,f,1.9589031467328195,0.860890867178529,Inf,1,1.5299691867191827,0.12602435618292163
ASD / CTRL,01,BOTH,m,1.1092282245962035,0.5063850919436995,Inf,1,0.22707534109873417,0.8203651581826049
ASD / CTRL,02,BOTH,m,1.027032343843797,0.46631297065321253,Inf,1,0.0587469593632698,0.9531536557365617
ASD / CTRL,03,BOTH,m,0.9728972218691381,0.4400048371251751,Inf,1,-0.060754182156915144,0.951554980216169
ASD / CTRL,04,BOTH,m,0.9078562602016188,0.4109964745635326,Inf,1,-0.21353407861259946,0.8309104111157242
ASD / CTRL,05,BOTH,m,1.0653459873182176,0.48477086749364773,Inf,1,0.13910900514735863,0.8893640123389434
ASD / CTRL,06,BOTH,m,1.1141633885941318,0.5061422519639034,Inf,1,0.23796728036519887,0.8119064717769087
ASD / CTRL,07,BOTH,m,0.9755453619036515,0.4435587755497365,Inf,1,-0.0544531121599606,0.9565741642037381
ASD / CTRL,08,BOTH,m,0.8653620662008603,0.39108578091235363,Inf,1,-0.31997496686246546,0.7489873072759473
ASD / CTRL,09,BOTH,m,0.967470717865775,0.43835600508517564,Inf,1,-0.07298719000803319,0.9418163112144363
ASD / CTRL,10,BOTH,m,0.9016945915323145,0.4089557865014789,Inf,1,-0.22815870155587087,0.8195228660789915
ASD / CTRL,11,BOTH,m,0.9258421480019249,0.4204973072448256,Inf,1,-0.16965043186393025,0.8652850584890991
ASD / CTRL,12,BOTH,m,0.9313281337488228,0.4217626475233936,Inf,1,-0.15709794752963963,0.8751676551324586
ASD / CTRL,13,BOTH,m,0.9329221288533748,0.4211863202250845,Inf,1,-0.15379438342605833,0.8777718625262242
ASD / CTRL,14,BOTH,m,0.8419027316383146,0.378914608385764,Inf,1,-0.38236506245856916,0.7021906012396928
ASD / CTRL,15,BOTH,m,1.2533446078020327,0.5658071563042318,Inf,1,0.5002143257275151,0.6169241722244085
ASD / CTRL,16,BOTH,m,1.4370685591326342,0.6532093209139269,Inf,1,0.7977361652958516,0.42502361206677003
ASD / CTRL,17,BOTH,m,1.466426232192812,0.6665513538666554,Inf,1,0.8422298858341427,0.3996592883822196
ASD / CTRL,18,BOTH,m,1.482184232513075,0.673544849466439,Inf,1,0.8659622962700942,0.38651083845812523
ASD / CTRL,19,BOTH,m,1.0325293374141333,0.4596524929394346,Inf,1,0.07190817298236005,0.9426749857907657
ASD / CTRL,20,BOTH,m,0.9976142487968566,0.44609406614070807,Inf,1,-0.005341705289753716,0.9957379560896852
ASD / CTRL,21,BOTH,m,1.1865163997395753,0.5341105318821897,Inf,1,0.37992127703514134,0.7040038526932852
ASD / CTRL,22,BOTH,m,1.159313116461253,0.5228144439711642,Inf,1,0.3278000072921946,0.7430628818090739
ASD / CTRL,23,BOTH,m,1.1663767585532534,0.5294070256805002,Inf,1,0.3390735095450413,0.7345543539050472
ASD / CTRL,24,BOTH,m,1.1610910491922681,0.5268025041315524,Inf,1,0.3291949074533839,0.742008371888274
ASD / CTRL,25,BOTH,m,0.7950493443438662,0.3622848433368583,Inf,1,-0.5033206421995681,0.6147388557608611
ASD / CTRL,26,BOTH,m,0.8764817905006611,0.40112103321789133,Inf,1,-0.2880796070156208,0.7732858024675644
ASD / CTRL,27,BOTH,m,0.772267341489369,0.35247409176424926,Inf,1,-0.5662055731086486,0.5712540418246896
ASD / CTRL,28,BOTH,m,0.8757000865817537,0.3987105196380223,Inf,1,-0.2915224950970503,0.7706517420304508
ASD / CTRL,29,BOTH,m,0.9629099294964614,0.4345901587911324,Inf,1,-0.08374227493895138,0.9332613446312641
