contrast,progress_window,medication,Sex,odds.ratio,SE,df,null,z.ratio,p.value
ASD / CTRL,02,PLA,f,0.46233666524848616,0.20895201758696794,Inf,1,-1.706971510076653,0.08782734790356796
ASD / CTRL,03,PLA,f,0.4658987745965581,0.21073455464600957,Inf,1,-1.6886047799041644,0.09129519406610473
ASD / CTRL,04,PLA,f,0.4523810223168243,0.20494025130673954,Inf,1,-1.7509611471285718,0.07995260276126749
ASD / CTRL,05,PLA,f,0.37394729414608424,0.16965086163297083,Inf,1,-2.1681568164506064,0.030146757176996095
ASD / CTRL,06,PLA,f,0.3373066663705173,0.15324852960160457,Inf,1,-2.3920120415700405,0.01675629261683937
ASD / CTRL,07,PLA,f,0.3196355277417821,0.1453905255749589,Inf,1,-2.507508254813069,0.01215857415877818
ASD / CTRL,08,PLA,f,0.24951503566066316,0.11396827818129232,Inf,1,-3.039317484941417,0.002371148280492531
ASD / CTRL,09,PLA,f,0.308042313385834,0.1411990673081024,Inf,1,-2.5688937893499397,0.010202372167938572
ASD / CTRL,10,PLA,f,0.3327389297659719,0.15307972286667546,Inf,1,-2.391857938995134,0.016763329396315092
ASD / CTRL,11,PLA,f,0.3510520138071966,0.16203137121476685,Inf,1,-2.2680088116072823,0.02332866961541929
ASD / CTRL,12,PLA,f,0.34037700102043744,0.1584364488609321,Inf,1,-2.3152802899163616,0.020597597707346926
ASD / CTRL,13,PLA,f,0.31793792982479563,0.14832298177614545,Inf,1,-2.45629358785142,0.014037842047972428
ASD / CTRL,14,PLA,f,0.33953042224358737,0.1567093461214744,Inf,1,-2.3403706432371267,0.01926461070956412
ASD / CTRL,15,PLA,f,0.3415190564077092,0.15796799530975522,Inf,1,-2.3226958858381863,0.02019549545293966
ASD / CTRL,16,PLA,f,0.39170995227035815,0.1824478475381908,Inf,1,-2.0122119592990617,0.04419759835479086
ASD / CTRL,17,PLA,f,0.5724878780443147,0.26725288634003047,Inf,1,-1.194797075737488,0.2321663231442492
ASD / CTRL,18,PLA,f,0.42525768163095945,0.19744520031300986,Inf,1,-1.8416290996401243,0.06552942150931008
ASD / CTRL,19,PLA,f,0.3881997882517352,0.1806269790999984,Inf,1,-2.033629129693215,0.04198900254194874
ASD / CTRL,20,PLA,f,0.4067537744272273,0.18834175438060846,Inf,1,-1.9427144119974227,0.05205067393080564
ASD / CTRL,21,PLA,f,0.4399721562779644,0.20247954726233902,Inf,1,-1.7840637806713011,0.07441330182600282
ASD / CTRL,22,PLA,f,0.41993393434145415,0.19305504298732826,Inf,1,-1.8873321373212788,0.05911566649761869
ASD / CTRL,23,PLA,f,0.4902477056788826,0.22543969882715742,Inf,1,-1.5501723051338288,0.12110016519255871
ASD / CTRL,24,PLA,f,0.4723685133697714,0.2172258019852557,Inf,1,-1.6309039771368847,0.10291058243331336
ASD / CTRL,25,PLA,f,0.44353153111611504,0.20422715170061748,Inf,1,-1.7656080130519178,0.07746163475315433
ASD / CTRL,26,PLA,f,0.5304805959296998,0.24408107486458888,Inf,1,-1.3778609862678879,0.1682462123158559
ASD / CTRL,27,PLA,f,0.4615967658508239,0.21059931050555447,Inf,1,-1.6944198105189936,0.09018553768811151
ASD / CTRL,28,PLA,f,0.4894766484154721,0.22118150059046693,Inf,1,-1.5810146116679542,0.11387469684631114
ASD / CTRL,29,PLA,f,0.510594768913197,0.23141772265007823,Inf,1,-1.4830804099623522,0.13805304815193511
ASD / CTRL,30,PLA,f,0.5030651336051523,0.2293426461370953,Inf,1,-1.5070187569043005,0.13180584943937618
ASD / CTRL,31,PLA,f,0.425429259832074,0.1946248850271711,Inf,1,-1.8681882497923041,0.06173583602869728
ASD / CTRL,32,PLA,f,0.41220303554972015,0.18914434562305651,Inf,1,-1.9313847651121538,0.053435487773119364
ASD / CTRL,33,PLA,f,0.3753006363768961,0.17132061601121443,Inf,1,-2.1468816453120505,0.031802705215065875
ASD / CTRL,34,PLA,f,0.362998700887049,0.16565964249984796,Inf,1,-2.2204980919480977,0.026384975060943245
ASD / CTRL,35,PLA,f,0.36696280539395776,0.16674535747732744,Inf,1,-2.2062281301766364,0.02736803061077031
ASD / CTRL,36,PLA,f,0.3874348373492987,0.1757820472359388,Inf,1,-2.089910007216308,0.0366258844743768
ASD / CTRL,37,PLA,f,0.3352131919237291,0.15162701753079627,Inf,1,-2.4163515742867885,0.015676916247826803
ASD / CTRL,01,BOTH,m,0.5295954247622486,0.2576122938097187,Inf,1,-1.3067429514601894,0.19130002602956916
ASD / CTRL,02,BOTH,m,0.9338592497371226,0.43964874500333123,Inf,1,-0.1453514137869007,0.8844334233655646
ASD / CTRL,03,BOTH,m,0.9587656993372299,0.44790592457440453,Inf,1,-0.09013552342891538,0.9281795204843948
ASD / CTRL,04,BOTH,m,1.2160342947685692,0.5635508376076896,Inf,1,0.42205635248261963,0.6729838856691667
ASD / CTRL,05,BOTH,m,1.2265460528191865,0.5689539555021375,Inf,1,0.4402172034679026,0.6597798009347751
ASD / CTRL,06,BOTH,m,1.0393690321870603,0.48890611547738067,Inf,1,0.0820894176429643,0.934575608220157
ASD / CTRL,07,BOTH,m,1.032618550787258,0.4841313055768771,Inf,1,0.06846250938470903,0.945417463201172
ASD / CTRL,08,BOTH,m,0.9577719353831112,0.44814666085699656,Inf,1,-0.09221007621663158,0.9265311324916465
ASD / CTRL,09,BOTH,m,0.7476653380445519,0.35019194287713684,Inf,1,-0.620862195107888,0.5346902970996141
ASD / CTRL,10,BOTH,m,0.7873126925669425,0.3668884528910475,Inf,1,-0.5131530175299055,0.6078442876726418
ASD / CTRL,11,BOTH,m,0.7770052830355743,0.36229951122725507,Inf,1,-0.5411123763446014,0.5884301281699134
ASD / CTRL,12,BOTH,m,0.8928286543352882,0.415170713633818,Inf,1,-0.24378305680988854,0.8073988432129922
ASD / CTRL,13,BOTH,m,1.106911787367124,0.5126420105586184,Inf,1,0.219321507221314,0.826399609379564
ASD / CTRL,14,BOTH,m,1.1200236821749827,0.514524959417802,Inf,1,0.24674117652642188,0.8051085373177843
ASD / CTRL,15,BOTH,m,0.9362454500149884,0.4349587391152303,Inf,1,-0.14180105241825583,0.8872371527610329
ASD / CTRL,16,BOTH,m,0.8644712034915809,0.4033208848866847,Inf,1,-0.3121565067949464,0.754921584226763
ASD / CTRL,17,BOTH,m,0.8497348470071117,0.398527608143628,Inf,1,-0.34718575701470106,0.7284517703901128
ASD / CTRL,18,BOTH,m,0.8568512816323776,0.40517289566719106,Inf,1,-0.3267141877013616,0.7438840684059576
ASD / CTRL,19,BOTH,m,0.7279312174883498,0.3391361926318511,Inf,1,-0.6815952676145687,0.49549490818140945
ASD / CTRL,20,BOTH,m,0.8377955137387391,0.3917695051998942,Inf,1,-0.3784727361377985,0.7050794435660884
ASD / CTRL,21,BOTH,m,0.717301358224945,0.3366971230375797,Inf,1,-0.7078468307302068,0.4790403808339254
ASD / CTRL,22,BOTH,m,0.6172947808331882,0.2914700893392915,Inf,1,-1.0216770936258803,0.3069337560665282
ASD / CTRL,23,BOTH,m,0.6972814660078068,0.3335196714956778,Inf,1,-0.7538268280820407,0.450953212372106
ASD / CTRL,24,BOTH,m,0.7356250847562419,0.35100941408582503,Inf,1,-0.6434654105129822,0.5199221520319897
ASD / CTRL,25,BOTH,m,1.0259334403749767,0.4894300196345315,Inf,1,0.053668228773622186,0.9571994960719987
ASD / CTRL,26,BOTH,m,0.9614288490370105,0.45546513510474673,Inf,1,-0.08303057346011368,0.9338272294351155
ASD / CTRL,27,BOTH,m,1.0576811979552476,0.5004609885290906,Inf,1,0.11851805827216054,0.9056571875043778
ASD / CTRL,28,BOTH,m,1.1559154516759729,0.5453367375055487,Inf,1,0.30711965111743394,0.7587523006276394
ASD / CTRL,29,BOTH,m,1.1003834831454447,0.5203953486241887,Inf,1,0.20227178796546552,0.8397042540520026
ASD / CTRL,30,BOTH,m,1.2372974175706755,0.5855259774772948,Inf,1,0.4499494975094174,0.6527468560086668
ASD / CTRL,31,BOTH,m,1.1476147669263606,0.5412256803449782,Inf,1,0.2919486582498463,0.7703258793464807
ASD / CTRL,32,BOTH,m,1.0261811021055958,0.4834665059357601,Inf,1,0.05485566095993369,0.9562534560852374
ASD / CTRL,33,BOTH,m,0.8058748285911138,0.3772600442180837,Inf,1,-0.4610332497270568,0.6447747502645964
ASD / CTRL,34,BOTH,m,0.639247673858894,0.297842159091453,Inf,1,-0.9603740346411308,0.3368670013296921
ASD / CTRL,35,BOTH,m,0.6572524601450211,0.3049003699833246,Inf,1,-0.9046901476999645,0.3656295620511921
ASD / CTRL,36,BOTH,m,0.6542011279351119,0.31195096262025057,Inf,1,-0.8898962579614516,0.37352159343188057
ASD / CTRL,37,BOTH,m,1.1134866155276966,0.5201717515932125,Inf,1,0.23010777804036797,0.8180080210550708
