contrast,progress_bin,medication,odds.ratio,SE,df,null,z.ratio,p.value,stars,bin_medication
ASD / CTRL,20,NAL,1.1566211175339147,0.41154057100787955,Inf,1,0.4089311416993572,0.6825901944726337,,20_NAL
ASD / CTRL,01,OXT,1.5868850447031726,0.5567461779422452,Inf,1,1.3161844697812286,0.18811213494694068,,01_OXT
ASD / CTRL,02,OXT,1.8949561826885253,0.6715745532121934,Inf,1,1.8035940575373812,0.07129496834056355,,02_OXT
ASD / CTRL,03,OXT,1.2455544497188586,0.43579901569883905,Inf,1,0.6275824352214305,0.5302775181665691,,03_OXT
ASD / CTRL,04,OXT,1.0865060629078123,0.3749243623698671,Inf,1,0.24043318390707966,0.809994455511271,,04_OXT
ASD / CTRL,05,OXT,1.487637467415352,0.5019057208780383,Inf,1,1.1772602183897845,0.23909165991965745,,05_OXT
ASD / CTRL,06,OXT,1.1997623172675849,0.41095810702588287,Inf,1,0.5316962253310888,0.5949364066896943,,06_OXT
ASD / CTRL,07,OXT,1.3166986035786459,0.445568566232033,Inf,1,0.8130287521585032,0.4162015735878373,,07_OXT
ASD / CTRL,08,OXT,1.0612754818061707,0.35102053480272966,Inf,1,0.17980604029764263,0.8573048414346307,,08_OXT
ASD / CTRL,09,OXT,1.4248241979768386,0.4800927965973374,Inf,1,1.0507484861831646,0.29337412076296293,,09_OXT
ASD / CTRL,10,OXT,1.2006262810242974,0.402771606496812,Inf,1,0.5450396541544641,0.5857262450517777,,10_OXT
ASD / CTRL,11,OXT,1.1062752378392868,0.37473316270018553,Inf,1,0.2981652178670834,0.7655770671803532,,11_OXT
ASD / CTRL,12,OXT,1.2113242324462818,0.4101159179780459,Inf,1,0.5662497050668278,0.5712240451667653,,12_OXT
ASD / CTRL,13,OXT,1.347770455191154,0.4487334584652846,Inf,1,0.8963993944555751,0.3700394906142156,,13_OXT
ASD / CTRL,14,OXT,1.3955894798088453,0.4722749328199858,Inf,1,0.9849634521218622,0.32464202360556715,,14_OXT
ASD / CTRL,15,OXT,1.133729088435706,0.38033405835351547,Inf,1,0.37413667546714213,0.7083026337693329,,15_OXT
ASD / CTRL,16,OXT,1.0827400415889261,0.3616773107731634,Inf,1,0.23798096484368672,0.8118958579769288,,16_OXT
ASD / CTRL,17,OXT,1.0681044889322753,0.357715269686809,Inf,1,0.1967281829776761,0.8440402542278246,,17_OXT
ASD / CTRL,18,OXT,1.0472944894133127,0.3444780559959943,Inf,1,0.14048978520952093,0.8882730226716725,,18_OXT
ASD / CTRL,19,OXT,1.2096967986390599,0.4041395369147143,Inf,1,0.569827137335699,0.5687949477329932,,19_OXT
ASD / CTRL,20,OXT,1.1269620646215786,0.3735863791536288,Inf,1,0.3605612922782406,0.7184274297201629,,20_OXT
ASD / CTRL,01,PLA,1.533864215155625,0.526245854118961,Inf,1,1.2468925824387247,0.2124368868942026,,01_PLA
ASD / CTRL,02,PLA,1.3080402737698278,0.4397453972618091,Inf,1,0.7987533536994066,0.42443344307842923,,02_PLA
ASD / CTRL,03,PLA,1.697831426429414,0.565930178778656,Inf,1,1.5880936629188953,0.11226516108630522,,03_PLA
ASD / CTRL,04,PLA,1.5243843111949498,0.5075178517775498,Inf,1,1.2662925872526318,0.205408349872358,,04_PLA
ASD / CTRL,05,PLA,2.2452038079980743,0.7464214297239169,Inf,1,2.43282475645821,0.014981549822755198,*,05_PLA
ASD / CTRL,06,PLA,1.2641919955394743,0.42106566193631406,Inf,1,0.7038535213657519,0.4815239988642118,,06_PLA
ASD / CTRL,07,PLA,2.291147911587767,0.7747183042276579,Inf,1,2.451836952013077,0.014212904730079275,*,07_PLA
ASD / CTRL,08,PLA,2.8146768526655186,0.9310617708657741,Inf,1,3.1284295880711688,0.0017574311300949423,**,08_PLA
ASD / CTRL,09,PLA,1.5411192143230348,0.523817819344471,Inf,1,1.2724801919118478,0.20320255757707056,,09_PLA
ASD / CTRL,10,PLA,1.2225690666266034,0.4146883444276571,Inf,1,0.592446548753003,0.5535516035085863,,10_PLA
ASD / CTRL,11,PLA,1.8006153334524158,0.604258845283936,Inf,1,1.7525488100069004,0.07967948462417655,,11_PLA
ASD / CTRL,12,PLA,2.0009461244581455,0.6650118078467917,Inf,1,2.087025367752568,0.03688584151109294,*,12_PLA
ASD / CTRL,13,PLA,1.4442009950973764,0.49268799017654347,Inf,1,1.0774061376217539,0.2812988633420998,,13_PLA
ASD / CTRL,14,PLA,1.1945688902129308,0.40437130514273023,Inf,1,0.5252025953730689,0.5994423609058064,,14_PLA
ASD / CTRL,15,PLA,1.3016490424806648,0.4400049025928669,Inf,1,0.7798919501628899,0.43545447707251184,,15_PLA
ASD / CTRL,16,PLA,1.7335390009831921,0.589530289855678,Inf,1,1.617783638364102,0.10570923367267959,,16_PLA
ASD / CTRL,17,PLA,1.5211421811451877,0.5205984392505367,Inf,1,1.2256290340169627,0.22033830675375088,,17_PLA
ASD / CTRL,18,PLA,1.4980022880725616,0.5024046016786661,Inf,1,1.2049875271935773,0.22820811698488142,,18_PLA
ASD / CTRL,19,PLA,1.6681964624345187,0.5743621287259685,Inf,1,1.4863236161071842,0.1371935430061136,,19_PLA
ASD / CTRL,20,PLA,2.0577158877097976,0.7075960603670219,Inf,1,2.0984299102295783,0.03586718540532148,*,20_PLA
