contrast,progress_window,medication,odds.ratio,SE,df,null,z.ratio,p.value
ASD / CTRL,31,BOTH,1.5383461065833306,0.49071422613691795,Inf,1,1.3502314767229482,0.17694174446152758
ASD / CTRL,32,BOTH,1.4451880807402644,0.46101245389487133,Inf,1,1.1543620837531738,0.24835175320615846
ASD / CTRL,33,BOTH,1.585990443832855,0.5087445828347905,Inf,1,1.4378005122968522,0.15049066397521108
ASD / CTRL,34,BOTH,1.586356162324757,0.5097272569271029,Inf,1,1.4360771279752578,0.15098039556158882
ASD / CTRL,35,BOTH,1.381956920540337,0.44281095539772813,Inf,1,1.0096042625362953,0.3126849266211012
ASD / CTRL,36,BOTH,1.7622431721283875,0.5695524442995888,Inf,1,1.7530694690501256,0.07959008342185403
ASD / CTRL,37,BOTH,1.7735530340077532,0.5721775629529101,Inf,1,1.7760554952538878,0.07572377066799921
ASD / CTRL,01,NAL,1.3809092839847275,0.45737787142422603,Inf,1,0.974418977280952,0.3298485506221082
ASD / CTRL,02,NAL,1.4032251582908524,0.46526690392774017,Inf,1,1.0217257531005934,0.3069107186824672
ASD / CTRL,03,NAL,1.4741443708200714,0.4867908754985958,Inf,1,1.1752122639477334,0.23990980494025196
ASD / CTRL,04,NAL,1.4205075016287136,0.4670451572928994,Inf,1,1.0676019248793491,0.2857001149887856
ASD / CTRL,05,NAL,1.2285486455279304,0.40685276135532794,Inf,1,0.6215429844865886,0.5342424216038075
ASD / CTRL,06,NAL,1.2405695376651302,0.4104754995032046,Inf,1,0.6515134119388536,0.5147151222085461
ASD / CTRL,07,NAL,1.0568145465033127,0.35095988695277625,Inf,1,0.16639727092735246,0.8678443215010094
ASD / CTRL,08,NAL,1.0362031707146577,0.3428946949033968,Inf,1,0.10746954609209829,0.9144164840697243
ASD / CTRL,09,NAL,1.0371593257944038,0.33822749368373317,Inf,1,0.1118813165191352,0.9109175108408379
ASD / CTRL,10,NAL,1.1449437703478926,0.3713446480425253,Inf,1,0.4173332459804972,0.6764346741830434
ASD / CTRL,11,NAL,1.149674976939363,0.37219612066553387,Inf,1,0.43083692131058665,0.6665869514688043
ASD / CTRL,12,NAL,1.3294250986496592,0.43126278286921316,Inf,1,0.877769381844911,0.3800688835115199
ASD / CTRL,13,NAL,1.2720255407314338,0.41559846779368537,Inf,1,0.7364386082670695,0.46146381598023006
ASD / CTRL,14,NAL,1.3454200503800642,0.4387612862088711,Inf,1,0.9098217561299128,0.36291651896136934
ASD / CTRL,15,NAL,1.3051385362913945,0.4257354757272272,Inf,1,0.8163998784544633,0.41427146612549953
ASD / CTRL,16,NAL,1.2748178599071422,0.4167038693922689,Inf,1,0.7428056784250942,0.4575993370911899
ASD / CTRL,17,NAL,1.2633301423757006,0.41250709940644764,Inf,1,0.715878449150385,0.47406640659161886
ASD / CTRL,18,NAL,1.101668829495071,0.3602163770611918,Inf,1,0.2961285376723908,0.7671319209198838
ASD / CTRL,19,NAL,1.218048261314457,0.3981149585047878,Inf,1,0.6034934406568226,0.5461804778025403
ASD / CTRL,20,NAL,1.2333438428204289,0.40148714636999705,Inf,1,0.6442747606501413,0.5193972792497565
ASD / CTRL,21,NAL,0.9519631045286632,0.30781402370485805,Inf,1,-0.15224839909723153,0.8789910219087401
ASD / CTRL,22,NAL,0.8607883812992685,0.27841335351725016,Inf,1,-0.46347578855338534,0.643023365388743
ASD / CTRL,23,NAL,0.8769002214487813,0.2846702350162601,Inf,1,-0.4046486435838085,0.68573579718251
ASD / CTRL,24,NAL,0.9238579461729838,0.30101110351405846,Inf,1,-0.243069897572687,0.8079512502343433
ASD / CTRL,25,NAL,1.0283976168231612,0.3325983614127415,Inf,1,0.08658210326798418,0.9310036919941513
ASD / CTRL,26,NAL,1.05559133914068,0.34069200050890086,Inf,1,0.16762552279083323,0.8668778910164452
ASD / CTRL,27,NAL,0.8300269607875247,0.26778352042825265,Inf,1,-0.5774500686913455,0.5636354595382803
