model,contrast_family,fix,AQ_z.trend,std.error,df,statistic,p.value,Sex,medication,p_display,sig,significant_0_05,trait,selected_model,SIAS_z.trend
AQ_best_aic,trait_slope_by_aoi_medication,Background,0.19122536433380233,0.05516730880398316,Inf,3.46628045629798,5.277125093677223e-4,NA,NAL,<0.001,***,TRUE,AQ,trait_aoi,NA
AQ_best_aic,trait_slope_by_aoi_medication,Eyes,-0.1145846981277131,0.05750632700994466,Inf,-1.9925581077000065,0.04630985632150233,NA,OXT,0.046,*,TRUE,AQ,trait_aoi,NA
AQ_best_aic,trait_slope_by_aoi_medication,Mouth,-0.02198908495090801,0.06322668969144697,Inf,-0.3477816893184999,0.7280041420716428,NA,OXT,0.728,,FALSE,AQ,trait_aoi,NA
AQ_best_aic,trait_slope_by_aoi_medication,Face,-0.1109390675532146,0.05980163558031764,Inf,-1.855117614704968,0.06357943292233172,NA,OXT,0.064,.,FALSE,AQ,trait_aoi,NA
AQ_best_aic,trait_slope_by_aoi_medication,Background,0.19122536433380233,0.05516730880398316,Inf,3.46628045629798,5.277125093677223e-4,NA,OXT,<0.001,***,TRUE,AQ,trait_aoi,NA
AQ_best_aic,trait_slope_by_aoi_medication,Eyes,-0.1145846981277131,0.05750632700994466,Inf,-1.9925581077000065,0.04630985632150233,NA,PLA,0.046,*,TRUE,AQ,trait_aoi,NA
AQ_best_aic,trait_slope_by_aoi_medication,Mouth,-0.02198908495090801,0.06322668969144697,Inf,-0.3477816893184999,0.7280041420716428,NA,PLA,0.728,,FALSE,AQ,trait_aoi,NA
AQ_best_aic,trait_slope_by_aoi_medication,Face,-0.1109390675532146,0.05980163558031764,Inf,-1.855117614704968,0.06357943292233172,NA,PLA,0.064,.,FALSE,AQ,trait_aoi,NA
AQ_best_aic,trait_slope_by_aoi_medication,Background,0.19122536433380233,0.05516730880398316,Inf,3.46628045629798,5.277125093677223e-4,NA,PLA,<0.001,***,TRUE,AQ,trait_aoi,NA
SIAS_main_analogue,trait_slope_by_aoi,Eyes,NA,0.058102389504354306,Inf,-1.4508353044428928,0.14682572630997082,NA,NA,0.147,,FALSE,SIAS,main_analogue,-0.08429699796540942
SIAS_main_analogue,trait_slope_by_aoi,Mouth,NA,0.06718638422183852,Inf,0.07683748318978861,0.9387528315947362,NA,NA,0.939,,FALSE,SIAS,main_analogue,0.0051624326682281965
SIAS_main_analogue,trait_slope_by_aoi,Face,NA,0.05936058138272281,Inf,-1.4452280403146291,0.14839384269610148,NA,NA,0.148,,FALSE,SIAS,main_analogue,-0.08578957670368954
SIAS_main_analogue,trait_slope_by_aoi,Background,NA,0.057385455186578546,Inf,3.2018738211078825,0.0013653679052620929,NA,NA,0.001,**,TRUE,SIAS,main_analogue,0.18374098667426542
SIAS_main_analogue,trait_slope_by_aoi_sex,Eyes,NA,0.07689312719971589,Inf,-0.3745435093035293,0.7079999924842022,f,NA,0.708,,FALSE,SIAS,main_analogue,-0.028799821702704252
SIAS_main_analogue,trait_slope_by_aoi_sex,Mouth,NA,0.09399041336303157,Inf,-0.9291450015676056,0.352813945406607,f,NA,0.353,,FALSE,SIAS,main_analogue,-0.08733072277153386
SIAS_main_analogue,trait_slope_by_aoi_sex,Face,NA,0.08238702204568797,Inf,-1.7045173010424122,0.08828448664688994,f,NA,0.088,.,FALSE,SIAS,main_analogue,-0.14043010445823778
SIAS_main_analogue,trait_slope_by_aoi_sex,Background,NA,0.07621956037882596,Inf,1.8382089201691123,0.06603162587209577,f,NA,0.066,.,FALSE,SIAS,main_analogue,0.14010747577972613
SIAS_main_analogue,trait_slope_by_aoi_sex,Eyes,NA,0.08721696613962371,Inf,-1.6028323434722687,0.10897167400524832,m,NA,0.109,,FALSE,SIAS,main_analogue,-0.13979417422811458
SIAS_main_analogue,trait_slope_by_aoi_sex,Mouth,NA,0.09610250722949537,Inf,1.016160669718909,0.30955288202761994,m,NA,0.310,,FALSE,SIAS,main_analogue,0.0976555881079903
