model,contrast_family,fix,term,contrast,null.value,estimate,std.error,df,statistic,p.value,medication,Sex,p_display,sig,significant_0_05
exclude_asd_medication_records,group_by_aoi_medication,Face,Group,ASD - CTRL,0,-0.18639940352276618,0.2944967674656327,Inf,-0.6329421036667872,0.5267714515827622,PLA/OXT,NA,0.527,,FALSE
exclude_asd_medication_records,group_by_aoi_medication,Background,Group,ASD - CTRL,0,0.14189313144674115,0.27020432377998543,Inf,0.5251327197942176,0.5994909317932906,PLA/OXT,NA,0.599,,FALSE
exclude_asd_medication_records,group_by_aoi_medication,Eyes,Group,ASD - CTRL,0,-0.8187313278864797,0.2966637128794787,Inf,-2.759795999111944,0.005783746537838769,PLA/PLA,NA,0.006,**,TRUE
exclude_asd_medication_records,group_by_aoi_medication,Mouth,Group,ASD - CTRL,0,0.19032051962830515,0.3226839490069878,Inf,0.5898047306473979,0.5553215707764969,PLA/PLA,NA,0.555,,FALSE
exclude_asd_medication_records,group_by_aoi_medication,Face,Group,ASD - CTRL,0,0.029390224685943878,0.30047945815475297,Inf,0.0978110945301536,0.9220822974689261,PLA/PLA,NA,0.922,,FALSE
exclude_asd_medication_records,group_by_aoi_medication,Background,Group,ASD - CTRL,0,0.565382540882124,0.2648124864248754,Inf,2.1350297658358994,0.032758578822639065,PLA/PLA,NA,0.033,*,TRUE
exclude_asd_medication_records,group_by_aoi_sex,Eyes,Group,ASD - CTRL,0,-1.025746719196244,0.2559824009042817,Inf,-4.007098595734308,6.146920729147336e-5,NA,f,<0.001,***,TRUE
exclude_asd_medication_records,group_by_aoi_sex,Mouth,Group,ASD - CTRL,0,0.775111502293483,0.24516257213139075,Inf,3.161622492188877,0.0015689281601298961,NA,f,0.002,**,TRUE
exclude_asd_medication_records,group_by_aoi_sex,Face,Group,ASD - CTRL,0,-0.3506688051315246,0.2551043242232928,Inf,-1.3746094120481633,0.1692525690686617,NA,f,0.169,,FALSE
exclude_asd_medication_records,group_by_aoi_sex,Background,Group,ASD - CTRL,0,0.49496483080476217,0.21531082163637816,Inf,2.2988386140696173,0.02151410523138976,NA,f,0.022,*,TRUE
exclude_asd_medication_records,group_by_aoi_sex,Eyes,Group,ASD - CTRL,0,0.11963274769594429,0.1741374647561402,Inf,0.6870017768059068,0.49208160874742585,NA,m,0.492,,FALSE
exclude_asd_medication_records,group_by_aoi_sex,Mouth,Group,ASD - CTRL,0,-0.0738829383111812,0.203039183383046,Inf,-0.3638851234532226,0.7159437939889848,NA,m,0.716,,FALSE
exclude_asd_medication_records,group_by_aoi_sex,Face,Group,ASD - CTRL,0,0.025761667104192032,0.18540105741833146,Inf,0.13895102575420834,0.8894888493000946,NA,m,0.889,,FALSE
exclude_asd_medication_records,group_by_aoi_sex,Background,Group,ASD - CTRL,0,0.20174821376332774,0.17139426292621446,Inf,1.1771001567898496,0.23915553253990773,NA,m,0.239,,FALSE
exclude_asd_disorder_records,group_by_aoi,Eyes,Group,ASD - CTRL,0,-0.2966322655596474,0.1719618187801139,Inf,-1.7249891148159378,0.0845294342094231,NA,NA,0.085,.,FALSE
exclude_asd_disorder_records,group_by_aoi,Mouth,Group,ASD - CTRL,0,0.41804874886129123,0.17503752593635577,Inf,2.3883378528401686,0.016924774932495643,NA,NA,0.017,*,TRUE
exclude_asd_disorder_records,group_by_aoi,Face,Group,ASD - CTRL,0,-0.1903857795990223,0.17723169218471793,Inf,-1.0742197247690592,0.28272421387141505,NA,NA,0.283,,FALSE
exclude_asd_disorder_records,group_by_aoi,Background,Group,ASD - CTRL,0,0.059492990334310436,0.15699064128089582,Inf,0.37895883378081424,0.7047184336843089,NA,NA,0.705,,FALSE
exclude_asd_disorder_records,group_by_aoi_medication,Eyes,Group,ASD - CTRL,0,-0.2471939598945054,0.3268308729799677,Inf,-0.7563360145283966,0.4494477604496363,NAL/OXT,NA,0.449,,FALSE
exclude_asd_disorder_records,group_by_aoi_medication,Mouth,Group,ASD - CTRL,0,0.34249972262728906,0.35279409320635863,Inf,0.9708204565288793,0.3316376939547424,NAL/OXT,NA,0.332,,FALSE
exclude_asd_disorder_records,group_by_aoi_medication,Face,Group,ASD - CTRL,0,-0.365383471704035,0.35134711365755555,Inf,-1.039950116283466,0.29836307693900244,NAL/OXT,NA,0.298,,FALSE
exclude_asd_disorder_records,group_by_aoi_medication,Background,Group,ASD - CTRL,0,0.34326423782648274,0.3067058021165796,Inf,1.119197078951924,0.2630560713453981,NAL/OXT,NA,0.263,,FALSE
exclude_asd_disorder_records,group_by_aoi_medication,Eyes,Group,ASD - CTRL,0,0.17044272560830323,0.3261046059987856,Inf,0.5226627360453104,0.6012089743932287,NAL/PLA,NA,0.601,,FALSE
exclude_asd_disorder_records,group_by_aoi_medication,Mouth,Group,ASD - CTRL,0,0.35749050995579573,0.34639891652141236,Inf,1.0320197116831853,0.30206288345073473,NAL/PLA,NA,0.302,,FALSE
exclude_asd_disorder_records,group_by_aoi_medication,Face,Group,ASD - CTRL,0,-0.07789213508538145,0.3451366443482392,Inf,-0.22568491744037794,0.821446489604974,NAL/PLA,NA,0.821,,FALSE
exclude_asd_disorder_records,group_by_aoi_medication,Background,Group,ASD - CTRL,0,-0.3041672392813302,0.31668913234435714,Inf,-0.9604599849374968,0.3368237608359681,NAL/PLA,NA,0.337,,FALSE
exclude_asd_disorder_records,group_by_aoi_medication,Eyes,Group,ASD - CTRL,0,-0.5245405176371872,0.31448865866747655,Inf,-1.6679155294811705,0.09533249641565088,PLA/OXT,NA,0.095,.,FALSE
exclude_asd_disorder_records,group_by_aoi_medication,Mouth,Group,ASD - CTRL,0,0.5950561196490507,0.3367772531416121,Inf,1.766913038508674,0.07724279308279237,PLA/OXT,NA,0.077,.,FALSE
exclude_asd_disorder_records,group_by_aoi_medication,Face,Group,ASD - CTRL,0,-0.1892871284160515,0.3215313796293113,Inf,-0.5887049924467024,0.5560591882780213,PLA/OXT,NA,0.556,,FALSE
exclude_asd_disorder_records,group_by_aoi_medication,Background,Group,ASD - CTRL,0,-0.07678625147315404,0.3017518512531362,Inf,-0.25446820344024645,0.7991338657264058,PLA/OXT,NA,0.799,,FALSE
exclude_asd_disorder_records,group_by_aoi_medication,Eyes,Group,ASD - CTRL,0,-0.5852373103151997,0.3354793326365528,Inf,-1.7444809661322012,0.0810752575614709,PLA/PLA,NA,0.081,.,FALSE
exclude_asd_disorder_records,group_by_aoi_medication,Mouth,Group,ASD - CTRL,0,0.3771486432130294,0.35721319864447376,Inf,1.0558082530102615,0.29105582691967374,PLA/PLA,NA,0.291,,FALSE
exclude_asd_disorder_records,group_by_aoi_medication,Face,Group,ASD - CTRL,0,-0.12898038319062094,0.35171402250949013,Inf,-0.3667194792813264,0.7138282750114784,PLA/PLA,NA,0.714,,FALSE
exclude_asd_disorder_records,group_by_aoi_medication,Background,Group,ASD - CTRL,0,0.27566121426524315,0.30957147212752495,Inf,0.8904606499131393,0.37321858859623563,PLA/PLA,NA,0.373,,FALSE
exclude_asd_disorder_records,group_by_aoi_sex,Eyes,Group,ASD - CTRL,0,-0.9769087299024393,0.28310364692299855,Inf,-3.4507105101621987,5.591129417736578e-4,NA,f,<0.001,***,TRUE
exclude_asd_disorder_records,group_by_aoi_sex,Mouth,Group,ASD - CTRL,0,1.0489808825589106,0.2633658785558295,Inf,3.9829794516700954,6.805664195235399e-5,NA,f,<0.001,***,TRUE
exclude_asd_disorder_records,group_by_aoi_sex,Face,Group,ASD - CTRL,0,-0.3527335646237658,0.2843364511626331,Inf,-1.2405499301319314,0.21477205832937188,NA,f,0.215,,FALSE
exclude_asd_disorder_records,group_by_aoi_sex,Background,Group,ASD - CTRL,0,0.15019431726623567,0.24418646136366726,Inf,0.6150804447858026,0.5385015956997895,NA,f,0.539,,FALSE
exclude_asd_disorder_records,group_by_aoi_sex,Eyes,Group,ASD - CTRL,0,0.3836441987831446,0.19539474652456668,Inf,1.9634314924373344,0.04959605751846399,NA,m,0.050,*,TRUE
exclude_asd_disorder_records,group_by_aoi_sex,Mouth,Group,ASD - CTRL,0,-0.21288338483632818,0.2311299535530892,Inf,-0.9210549371197364,0.35702174552910065,NA,m,0.357,,FALSE
exclude_asd_disorder_records,group_by_aoi_sex,Face,Group,ASD - CTRL,0,-0.0280379945742788,0.2109889048633668,Inf,-0.13288847862609543,0.8942815788121801,NA,m,0.894,,FALSE
exclude_asd_disorder_records,group_by_aoi_sex,Background,Group,ASD - CTRL,0,-0.031208336597614794,0.19749390253998395,Inf,-0.15802177280534754,0.8744396420516957,NA,m,0.874,,FALSE
exclude_asd_medication_or_disorder_records,group_by_aoi,Eyes,Group,ASD - CTRL,0,-0.6151038964777709,0.20884509014088468,Inf,-2.945263860705695,0.0032267935248244126,NA,NA,0.003,**,TRUE
exclude_asd_medication_or_disorder_records,group_by_aoi,Mouth,Group,ASD - CTRL,0,0.5173442122062457,0.1973798966460042,Inf,2.621058278969967,0.008765727563624386,NA,NA,0.009,**,TRUE
exclude_asd_medication_or_disorder_records,group_by_aoi,Face,Group,ASD - CTRL,0,-0.25037587171070286,0.2056171826690673,Inf,-1.2176797116886524,0.22334570977854631,NA,NA,0.223,,FALSE
exclude_asd_medication_or_disorder_records,group_by_aoi,Background,Group,ASD - CTRL,0,0.3787156373235863,0.178720431535298,Inf,2.1190394073594683,0.034087136728414666,NA,NA,0.034,*,TRUE
exclude_asd_medication_or_disorder_records,group_by_aoi_medication,Eyes,Group,ASD - CTRL,0,-0.45412181500462273,0.3672623107039219,Inf,-1.2365053580755931,0.21627077531307487,NAL/OXT,NA,0.216,,FALSE
exclude_asd_medication_or_disorder_records,group_by_aoi_medication,Mouth,Group,ASD - CTRL,0,0.4731157200095999,0.3918618929517756,Inf,1.207353224488771,0.22729614126889058,NAL/OXT,NA,0.227,,FALSE
exclude_asd_medication_or_disorder_records,group_by_aoi_medication,Face,Group,ASD - CTRL,0,-0.49296399398343704,0.3992234195431105,Inf,-1.2348073030074425,0.2169022287623704,NAL/OXT,NA,0.217,,FALSE
exclude_asd_medication_or_disorder_records,group_by_aoi_medication,Background,Group,ASD - CTRL,0,0.589130714378842,0.33962184347718494,Inf,1.7346667350576894,0.08279985157904503,NAL/OXT,NA,0.083,.,FALSE
exclude_asd_medication_or_disorder_records,group_by_aoi_medication,Eyes,Group,ASD - CTRL,0,-0.22296475687901612,0.38722700848848846,Inf,-0.5757985677428398,0.5647513417457165,NAL/PLA,NA,0.565,,FALSE
exclude_asd_medication_or_disorder_records,group_by_aoi_medication,Mouth,Group,ASD - CTRL,0,0.5081625802762806,0.38177729879420386,Inf,1.3310445170031036,0.18317436343055565,NAL/PLA,NA,0.183,,FALSE
exclude_asd_medication_or_disorder_records,group_by_aoi_medication,Face,Group,ASD - CTRL,0,-0.18198711819277724,0.3891089392105214,Inf,-0.4677022290004905,0.6399975468724015,NAL/PLA,NA,0.640,,FALSE
exclude_asd_medication_or_disorder_records,group_by_aoi_medication,Background,Group,ASD - CTRL,0,-0.015877331214724094,0.3563489286632794,Inf,-0.0445555744317303,0.9644615539345924,NAL/PLA,NA,0.964,,FALSE
exclude_asd_medication_or_disorder_records,group_by_aoi_medication,Eyes,Group,ASD - CTRL,0,-0.7131571994277957,0.3607366507968982,Inf,-1.976946888685611,0.04804763395956161,PLA/OXT,NA,0.048,*,TRUE
exclude_asd_medication_or_disorder_records,group_by_aoi_medication,Mouth,Group,ASD - CTRL,0,0.6553786817433227,0.3886639617746754,Inf,1.6862347585580186,0.0917505915287122,PLA/OXT,NA,0.092,.,FALSE
exclude_asd_medication_or_disorder_records,group_by_aoi_medication,Face,Group,ASD - CTRL,0,-0.1940802058292309,0.37627817153644216,Inf,-0.5157891701151589,0.6060016672866062,PLA/OXT,NA,0.606,,FALSE
exclude_asd_medication_or_disorder_records,group_by_aoi_medication,Background,Group,ASD - CTRL,0,0.26028594537184163,0.34517006412593493,Inf,0.7540802996081276,0.4508010060242976,PLA/OXT,NA,0.451,,FALSE
exclude_asd_medication_or_disorder_records,group_by_aoi_medication,Eyes,Group,ASD - CTRL,0,-1.0701718145996488,0.39553557845003756,Inf,-2.7056271873020106,0.006817553568497186,PLA/PLA,NA,0.007,**,TRUE
exclude_asd_medication_or_disorder_records,group_by_aoi_medication,Mouth,Group,ASD - CTRL,0,0.43271986679577945,0.40022218089219896,Inf,1.0811991125307816,0.279608552714154,PLA/PLA,NA,0.280,,FALSE
exclude_asd_medication_or_disorder_records,group_by_aoi_medication,Face,Group,ASD - CTRL,0,-0.13247216883736623,0.39546263854072317,Inf,-0.33498023814890615,0.7376399935443785,PLA/PLA,NA,0.738,,FALSE
exclude_asd_medication_or_disorder_records,group_by_aoi_medication,Background,Group,ASD - CTRL,0,0.6813232207583861,0.3503033387894406,Inf,1.9449521181067422,0.05178074143621669,PLA/PLA,NA,0.052,.,FALSE
exclude_asd_medication_or_disorder_records,group_by_aoi_sex,Eyes,Group,ASD - CTRL,0,-1.6064895041757459,0.36027062112912034,Inf,-4.459118812244152,8.229729464217185e-6,NA,f,<0.001,***,TRUE
exclude_asd_medication_or_disorder_records,group_by_aoi_sex,Mouth,Group,ASD - CTRL,0,1.1184957224261227,0.30428385250661255,Inf,3.675830029139703,2.370773353040743e-4,NA,f,<0.001,***,TRUE
exclude_asd_medication_or_disorder_records,group_by_aoi_sex,Face,Group,ASD - CTRL,0,-0.4538179143787142,0.3393877624200762,Inf,-1.337166405596565,0.18116832506089756,NA,f,0.181,,FALSE
exclude_asd_medication_or_disorder_records,group_by_aoi_sex,Background,Group,ASD - CTRL,0,0.7800066534012768,0.2845842282694371,Inf,2.740863954915964,0.006127787391510933,NA,f,0.006,**,TRUE
exclude_asd_medication_or_disorder_records,group_by_aoi_sex,Eyes,Group,ASD - CTRL,0,0.37628171122020365,0.21300701353774282,Inf,1.7665226368404536,0.07730820724807094,NA,m,0.077,.,FALSE
exclude_asd_medication_or_disorder_records,group_by_aoi_sex,Mouth,Group,ASD - CTRL,0,-0.08380729801363129,0.2520925291268346,Inf,-0.332446575485248,0.7395520742804348,NA,m,0.740,,FALSE
exclude_asd_medication_or_disorder_records,group_by_aoi_sex,Face,Group,ASD - CTRL,0,-0.04693382904269128,0.232370047207,Inf,-0.20197882475309592,0.8399332784112764,NA,m,0.840,,FALSE
exclude_asd_medication_or_disorder_records,group_by_aoi_sex,Background,Group,ASD - CTRL,0,-0.02257537875410437,0.2164262620339421,Inf,-0.10430979374658272,0.91692350602763,NA,m,0.917,,FALSE
adjust_asd_medication_disorder_records,group_by_aoi,Eyes,Group,ASD - CTRL,0,-0.19539978652648415,0.1297951903850636,Inf,-1.5054470504399378,0.13220918030271064,NA,NA,0.132,,FALSE
adjust_asd_medication_disorder_records,group_by_aoi,Mouth,Group,ASD - CTRL,0,0.0046710194422360796,0.14400435859462213,Inf,0.03243665322231795,0.9741238328125527,NA,NA,0.974,,FALSE
adjust_asd_medication_disorder_records,group_by_aoi,Face,Group,ASD - CTRL,0,-0.16282588498659364,0.13565126616884626,Inf,-1.2003270561730173,0.23001234587193373,NA,NA,0.230,,FALSE
