model,term,Chisq,Df,Pr(>Chisq),p_display,sig,significant_0_05
full_sample_influence,asd_medication_record_factor,0.8459250939531122,1,0.3577076707412293,0.358,,FALSE
adjust_asd_medication_disorder_records,fix,97.29545080410783,3,5.928494669510604e-21,<0.001,***,TRUE
asd_disorder_influence,fix,16.63388519496198,3,8.404574073003809e-4,<0.001,***,TRUE
asd_disorder_responsiveness,fix,9.470474328529777,3,0.023647547375813985,0.024,*,TRUE
asd_joint_influence,fix,14.198296483445548,3,0.0026472938759999226,0.003,**,TRUE
asd_medication_influence,fix,26.64863264812505,3,6.975347063750963e-6,<0.001,***,TRUE
asd_medication_responsiveness,fix,13.791201640677889,3,0.0032035894801133702,0.003,**,TRUE
exclude_asd_disorder_records,fix,18.6813717531265,3,3.1816494968222084e-4,<0.001,***,TRUE
exclude_asd_medication_or_disorder_records,fix,30.793875491898998,3,9.393770064127976e-7,<0.001,***,TRUE
exclude_asd_medication_records,fix,29.468660115976327,3,1.7849805581089797e-6,<0.001,***,TRUE
full_anonymized,fix,97.14302410740687,3,6.393075148676453e-21,<0.001,***,TRUE
full_sample_influence,fix,44.81274968455873,3,1.014055842475325e-9,<0.001,***,TRUE
adjust_asd_medication_disorder_records,fix:medication,4.284954775342511,9,0.891676721428531,0.892,,FALSE
asd_disorder_responsiveness,fix:medication,4.232396693867719,9,0.8954616450697674,0.895,,FALSE
asd_medication_responsiveness,fix:medication,3.190810413242391,9,0.9562468080580672,0.956,,FALSE
exclude_asd_disorder_records,fix:medication,5.193146213799508,9,0.8171565801799772,0.817,,FALSE
exclude_asd_medication_or_disorder_records,fix:medication,4.580812855681431,9,0.8692136739678281,0.869,,FALSE
exclude_asd_medication_records,fix:medication,5.187367725701515,9,0.8176785506813442,0.818,,FALSE
full_anonymized,fix:medication,4.295126955111881,9,0.8909368111019049,0.891,,FALSE
full_sample_influence,fix:medication,3.883163102172786,9,0.9189326606260187,0.919,,FALSE
adjust_asd_medication_disorder_records,medication,0.5747302324350202,3,0.9021921461237761,0.902,,FALSE
asd_disorder_influence,medication,0.6437267332677233,3,0.8863531487129055,0.886,,FALSE
asd_disorder_responsiveness,medication,0.5166934878950388,3,0.9152089137846082,0.915,,FALSE
asd_joint_influence,medication,0.6430467197668255,3,0.8865108931263282,0.887,,FALSE
asd_medication_influence,medication,0.580337411349703,3,0.9009185476255179,0.901,,FALSE
asd_medication_responsiveness,medication,0.40126181587401544,3,0.9399817100192431,0.940,,FALSE
exclude_asd_disorder_records,medication,0.5896778143735802,3,0.8987912828763838,0.899,,FALSE
exclude_asd_medication_or_disorder_records,medication,0.2010882893749898,3,0.977413419704645,0.977,,FALSE
exclude_asd_medication_records,medication,0.4870237515307458,3,0.9217328473193377,0.922,,FALSE
full_anonymized,medication,0.603090699577919,3,0.8957244651912857,0.896,,FALSE
full_sample_influence,medication,0.6124697788200116,3,0.8935718630503933,0.894,,FALSE
