model,term,Estimate,Std. Error,z value,p_value,p_display,sig,significant_0_05
adjust_asd_medication_disorder_records,GroupCTRL:fix.C:Sexm,0.6898000824105717,0.23804526240973467,2.897768581603844,0.003758277898157755,0.004,**,TRUE
full_sample_influence,(Intercept),-1.1410507923694786,0.13439413885298013,-8.4903315137703,2.0604847871974692e-17,<0.001,***,TRUE
full_sample_influence,GroupCTRL,-6.497455626944458e-6,0.1538616999989817,-4.2229194315332927e-05,0.9999663059778506,1.000,,FALSE
full_sample_influence,fix.L,0.941722512159232,0.23340207389835257,4.034764972008584,5.4656979340315197e-5,<0.001,***,TRUE
full_sample_influence,fix.Q,1.1063454221308666,0.2540085961178344,4.355543233732271,1.3273731360731401e-5,<0.001,***,TRUE
full_sample_influence,fix.C,0.6703770691947887,0.27285500637467947,2.456898548800088,0.014014225668636235,0.014,*,TRUE
full_sample_influence,medicationNAL/PLA,0.07233381939939398,0.11815420485255605,0.612198435846265,0.5404064763382896,0.540,,FALSE
full_sample_influence,medicationPLA/OXT,0.003035950092783884,0.11621323958702756,0.026123960605283526,0.9791584657831319,0.979,,FALSE
full_sample_influence,medicationPLA/PLA,-0.011253266790018068,0.11985559692859095,-0.09389020686887638,0.925196373258453,0.925,,FALSE
full_sample_influence,Sexm,0.04299668894347144,0.09126609031534058,0.471113518667341,0.6375596717350971,0.638,,FALSE
full_sample_influence,asd_medication_record_factorTRUE,-0.09289556003961855,0.10100177431268118,-0.9197418626729524,0.3577076707412293,0.358,,FALSE
full_sample_influence,asd_disorder_record_factorTRUE,0.016098918523709007,0.10414435391006588,0.15458272982912996,0.8771502859236816,0.877,,FALSE
full_sample_influence,sessionsession_2,-0.022292286530734794,0.07883456273032576,-0.2827730091811556,0.7773508457954397,0.777,,FALSE
full_sample_influence,sessionsession_3,-0.01632865264051338,0.07929575726590425,-0.20592088660882754,0.8368527099199954,0.837,,FALSE
full_sample_influence,sessionsession_4,-0.009589481293066363,0.07908425449956016,-0.1212565175425621,0.9034878597896892,0.903,,FALSE
full_sample_influence,GroupCTRL:fix.L,-0.5816866271661364,0.28472302751923195,-2.0429911561222274,0.041053313600503225,0.041,*,TRUE
full_sample_influence,GroupCTRL:fix.Q,-0.20960223389644095,0.3061476343472464,-0.6846443035346165,0.4935684030110299,0.494,,FALSE
full_sample_influence,GroupCTRL:fix.C,-0.9261741509784697,0.3263555954173847,-2.8379294364294916,0.004540721971394014,0.005,**,TRUE
full_sample_influence,GroupCTRL:medicationNAL/PLA,-0.021049028441162704,0.16157582148305313,-0.1302733803112394,0.8963501400060078,0.896,,FALSE
full_sample_influence,GroupCTRL:medicationPLA/OXT,-0.016603850019151878,0.15919257715952767,-0.10430040341964611,0.9169309577782004,0.917,,FALSE
full_sample_influence,GroupCTRL:medicationPLA/PLA,0.009199806530421392,0.16317179933500955,0.05638110609746469,0.9550382081604077,0.955,,FALSE
full_sample_influence,fix.L:medicationNAL/PLA,-0.10321404246514906,0.2249525118765011,-0.4588259166530826,0.6463591821473741,0.646,,FALSE
full_sample_influence,fix.Q:medicationNAL/PLA,-0.1582944940488793,0.23567626676320066,-0.6716607328472668,0.5017997049762262,0.502,,FALSE
full_sample_influence,fix.C:medicationNAL/PLA,0.015510106691383854,0.24592825389509104,0.06306760791299812,0.949712668071726,0.950,,FALSE
full_sample_influence,fix.L:medicationPLA/OXT,-0.11896777883420656,0.22241953479696208,-0.5348800812069295,0.5927327828177209,0.593,,FALSE
full_sample_influence,fix.Q:medicationPLA/OXT,-0.2675859755695849,0.23225842420650147,-1.1521044994762972,0.24927813441405122,0.249,,FALSE
full_sample_influence,fix.C:medicationPLA/OXT,0.011207350972442843,0.24156075647376676,0.04639557822240861,0.9629949607870434,0.963,,FALSE
full_sample_influence,fix.L:medicationPLA/PLA,0.17330944701421216,0.22782185014238593,0.7607235517835355,0.4468222044821791,0.447,,FALSE
full_sample_influence,fix.Q:medicationPLA/PLA,-0.019979967509204992,0.23818758009840388,-0.0838833305286134,0.9331491931555602,0.933,,FALSE
full_sample_influence,fix.C:medicationPLA/PLA,-0.03681601837540432,0.24827037650732567,-0.14829001709077438,0.8821138934655929,0.882,,FALSE
full_sample_influence,GroupCTRL:Sexm,-0.027872934745379305,0.11977139187600203,-0.23271779937429332,0.8159805467483281,0.816,,FALSE
full_sample_influence,fix.L:Sexm,-0.8863549276159084,0.1689264558666798,-5.2469870575834365,1.5460675544749448e-7,<0.001,***,TRUE
full_sample_influence,fix.Q:Sexm,-0.4286326695765821,0.18234371592830154,-2.3506851738456542,0.01873888114972322,0.019,*,TRUE
full_sample_influence,fix.C:Sexm,-0.9320000074703829,0.1953599243549027,-4.770681656168412,1.836035185292085e-6,<0.001,***,TRUE
full_sample_influence,fix.L:asd_medication_record_factorTRUE,-0.45459862265412115,0.1960046311982555,-2.3193259254894953,0.020377370731312912,0.020,*,TRUE
